CorrectClass MaxScore MaxScoreClass TrustedVote VoteScore TrustedScore FileName AN CE DS HP NE SA SC SR
AN 0.810194 HP 0.000000 0.666062 0.333938 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0513.JPG 0.063834 0.000552 0.014336 0.810194 0.008046 0.000010 0.034912 0.068117
AN 0.953885 HP 0.857143 0.675156 0.675158 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0514.JPG 0.036398 0.000067 0.000558 0.953885 0.003073 0.000003 0.000902 0.005115
AN 0.983304 HP 0.857143 0.840000 0.840000 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0515.JPG 0.013972 0.000006 0.000439 0.983304 0.000406 0.000000 0.000833 0.001040
AN 0.418325 SC 0.285714 0.970225 0.970225 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0516.JPG 0.187855 0.000345 0.029456 0.296604 0.037752 0.000033 0.418325 0.029631
AN 0.800688 HP 0.000000 0.680175 0.319825 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0517.JPG 0.134706 0.000170 0.001033 0.800688 0.003593 0.000013 0.046217 0.013581
AN 0.600779 HP 0.000000 0.791951 0.208049 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0518.JPG 0.188757 0.000270 0.002060 0.600779 0.010296 0.000006 0.170481 0.027351
AN 0.351073 HP 0.000000 0.999978 0.000022 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0519.JPG 0.065252 0.003817 0.067296 0.351073 0.158874 0.000364 0.195686 0.157638
AN 0.406308 HP 0.000000 0.999942 0.000058 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0520.JPG 0.260684 0.000859 0.027705 0.406308 0.014093 0.000609 0.129795 0.159947
AN 0.459885 AN 0.000000 0.996081 0.003919 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0521.JPG 0.282561 0.000056 0.003996 0.459885 0.007899 0.000062 0.077669 0.167873
AN 0.491382 HP 0.000000 0.999995 0.000005 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0522.JPG 0.000637 0.268621 0.003300 0.491382 0.059889 0.000953 0.021118 0.154100
AN 0.737592 HP 0.000000 0.998819 0.001181 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0523.JPG 0.009998 0.005162 0.000817 0.737592 0.076094 0.000437 0.001622 0.168278
AN 0.428759 HP 0.000000 0.572791 0.427209 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0524.JPG 0.020390 0.243083 0.004859 0.428759 0.154724 0.016577 0.012639 0.118970
AN 0.291590 DS 0.142857 0.995038 0.995038 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0525.JPG 0.032318 0.006137 0.218894 0.291590 0.239802 0.000356 0.136189 0.074715
AN 0.240571 AN 0.000000 0.874284 0.125716 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0526.JPG 0.195915 0.001504 0.240571 0.211837 0.167974 0.000160 0.117544 0.064495
AN 0.256094 DS 0.000000 0.997926 0.002074 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0527.JPG 0.080635 0.002242 0.227525 0.233680 0.256094 0.001175 0.096523 0.102126
