CorrectClass MaxScore MaxScoreClass TrustedVote VoteScore TrustedScore FileName AN CE DS HP NE SA SC SR
AN 0.880349 AN 0.800000 0.683285 0.683285 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0513.JPG 0.880349 0.000602 0.065293 0.018289 0.000845 0.033005 0.001166 0.000451
AN 0.741509 AN 0.600000 0.580415 0.581260 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0514.JPG 0.741509 0.000302 0.011688 0.226097 0.000783 0.018677 0.000708 0.000237
AN 0.654508 AN 0.000000 0.948992 0.051008 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0515.JPG 0.654508 0.000797 0.029703 0.164084 0.001914 0.148211 0.000556 0.000227
AN 0.784894 AN 0.600000 0.677853 0.677859 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0516.JPG 0.784894 0.000234 0.194792 0.010928 0.000475 0.006639 0.001577 0.000460
AN 0.879882 AN 0.800000 0.700307 0.700307 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0517.JPG 0.879882 0.000022 0.114171 0.002039 0.000060 0.000839 0.002824 0.000162
AN 0.680626 AN 0.600000 0.709912 0.710906 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0518.JPG 0.680626 0.000127 0.305538 0.004543 0.000500 0.003933 0.004336 0.000398
AN 0.511949 AN 0.000000 0.930433 0.069567 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0519.JPG 0.511949 0.000920 0.439781 0.028657 0.001548 0.009129 0.006780 0.001236
AN 0.459051 AN 0.000000 0.942191 0.057809 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0520.JPG 0.459051 0.000519 0.055317 0.456053 0.000283 0.027246 0.000849 0.000681
AN 0.395191 HP 0.000000 0.985790 0.014210 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0521.JPG 0.279458 0.001249 0.239778 0.395191 0.000543 0.081599 0.001322 0.000860
AN 0.425610 AN 0.000000 0.968248 0.031752 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0522.JPG 0.410283 0.002116 0.425610 0.084654 0.000677 0.059105 0.015118 0.002437
AN 0.510470 DS 0.000000 0.997797 0.002203 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0523.JPG 0.310272 0.001027 0.510470 0.102719 0.000623 0.039070 0.032022 0.003798
AN 0.370246 AN 0.400000 0.619534 0.620855 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0524.JPG 0.370246 0.006356 0.342565 0.097843 0.001138 0.143142 0.020242 0.018467
AN 0.554421 DS 0.000000 0.960923 0.039077 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0525.JPG 0.266098 0.002483 0.554421 0.038628 0.001321 0.117848 0.018420 0.000780
AN 0.470147 DS 0.400000 0.684417 0.684417 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0526.JPG 0.192659 0.010184 0.470147 0.005325 0.003944 0.298183 0.019160 0.000396
AN 0.567373 DS 0.000000 0.998688 0.001312 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0527.JPG 0.102040 0.001466 0.567373 0.006540 0.001901 0.317103 0.003236 0.000341
AN 0.697311 AN 0.000000 0.680750 0.319250 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0529.JPG 0.697311 0.000014 0.295155 0.003389 0.000005 0.003509 0.000573 0.000044
AN 0.445589 AN 0.400000 0.899891 0.899996 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0530.JPG 0.420894 0.000053 0.445589 0.002332 0.000059 0.107414 0.023491 0.000167
AN 0.477635 DS 0.000000 0.823876 0.176124 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0531.JPG 0.031342 0.085539 0.477635 0.015326 0.025435 0.358719 0.005511 0.000493
AN 0.470273 DS 0.400000 0.516060 0.516060 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0532.JPG 0.056994 0.003170 0.465088 0.002865 0.000788 0.470273 0.000702 0.000121
AN 0.489565 DS 0.400000 0.705760 0.705760 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0533.JPG 0.050618 0.018712 0.435465 0.001987 0.001597 0.489565 0.001904 0.000151
AN 0.544126 SA 0.000000 0.999998 0.000002 /home/sielicki/data/BC2E_1072x712/S1/S1HD1/S1HD1AN/DSC_0001.JPG 0.054443 0.002222 0.148493 0.002176 0.018337 0.544126 0.221948 0.008255
AN 0.730331 AN 0.000000 0.927109 0.072891 /home/sielicki/data/BC2E_1072x712/S1/S1HD1/S1HD1AN/DSC_0002.JPG 0.730331 0.002657 0.111232 0.002256 0.013215 0.081890 0.056595 0.001825
AN 0.504138 AN 0.000000 0.720650 0.279350 /home/sielicki/data/BC2E_1072x712/S1/S1HD1/S1HD1AN/DSC_0003.JPG 0.504138 0.003802 0.298756 0.004655 0.005662 0.171357 0.010855 0.000775
AN 0.598733 AN 0.600000 0.631304 0.631305 /home/sielicki/data/BC2E_1072x712/S1/S1HD1/S1HD1AN/DSC_0004.JPG 0.598733 0.003456 0.082465 0.001622 0.005962 0.080648 0.225840 0.001274
AN 0.668481 DS 0.600000 0.753321 0.753513 /home/sielicki/data/BC2E_1072x712/S1/S1HD1/S1HD1AN/DSC_0005.JPG 0.130082 0.001869 0.668481 0.097303 0.003272 0.066703 0.029859 0.002431
AN 0.609254 DS 0.600000 0.783673 0.783679 /home/sielicki/data/BC2E_1072x712/S1/S1HD1/S1HD1AN/DSC_0006.JPG 0.109992 0.002213 0.609254 0.023066 0.000644 0.201645 0.052373 0.000814
AN 0.445213 SC 0.400000 0.651476 0.651481 /home/sielicki/data/BC2E_1072x712/S1/S1HD1/S1HD1AN/DSC_0007.JPG 0.012038 0.004685 0.166218 0.019944 0.008390 0.445213 0.339237 0.004276
AN 0.442973 AN 0.000000 0.808951 0.191049 /home/sielicki/data/BC2E_1072x712/S1/S1HD1/S1HD1AN/DSC_0008.JPG 0.442973 0.015854 0.168827 0.004240 0.028220 0.333801 0.002672 0.003413
AN 0.692465 AN 0.600000 0.732345 0.732725 /home/sielicki/data/BC2E_1072x712/S1/S1HD1/S1HD1AN/DSC_0009.JPG 0.692465 0.007942 0.116140 0.003193 0.052185 0.082600 0.040573 0.004901
AN 0.354815 AN 0.000000 0.680125 0.319875 /home/sielicki/data/BC2E_1072x712/S1/S1HD1/S1HD1AN/DSC_0010.JPG 0.354815 0.003667 0.155650 0.001165 0.069891 0.161975 0.250639 0.002199
AN 0.596268 DS 0.400000 0.927394 0.927461 /home/sielicki/data/BC2E_1072x712/S1/S1HD1/S1HD1AN/DSC_0989.JPG 0.017274 0.006961 0.596268 0.148241 0.022306 0.190075 0.002893 0.015983
AN 0.677174 DS 0.600000 0.866024 0.866032 /home/sielicki/data/BC2E_1072x712/S1/S1HD1/S1HD1AN/DSC_0990.JPG 0.036779 0.007267 0.677174 0.034829 0.014246 0.221886 0.003527 0.004292
AN 0.337675 DS 0.000000 0.998396 0.001604 /home/sielicki/data/BC2E_1072x712/S1/S1HD1/S1HD1AN/DSC_0991.JPG 0.136335 0.005285 0.337675 0.018864 0.112692 0.320948 0.056687 0.011513
AN 0.486513 AN 0.000000 0.500259 0.499741 /home/sielicki/data/BC2E_1072x712/S1/S1HD1/S1HD1AN/DSC_0992.JPG 0.486513 0.002993 0.314229 0.072262 0.004402 0.087104 0.031349 0.001148
AN 0.464287 AN 0.400000 0.876919 0.876975 /home/sielicki/data/BC2E_1072x712/S1/S1HD1/S1HD1AN/DSC_0993.JPG 0.289874 0.001797 0.464287 0.035552 0.001634 0.070274 0.134072 0.002510
AN 0.564894 AN 0.400000 0.789040 0.789225 /home/sielicki/data/BC2E_1072x712/S1/S1HD1/S1HD1AN/DSC_0994.JPG 0.564894 0.022174 0.266902 0.007271 0.001245 0.110369 0.026134 0.001010
AN 0.526995 AN 0.400000 0.755698 0.755700 /home/sielicki/data/BC2E_1072x712/S1/S1HD1/S1HD1AN/DSC_0995.JPG 0.526995 0.005127 0.041732 0.001238 0.014869 0.219034 0.189489 0.001516
AN 0.596976 AN 0.600000 0.760288 0.760711 /home/sielicki/data/BC2E_1072x712/S1/S1HD1/S1HD1AN/DSC_0996.JPG 0.596976 0.011112 0.116509 0.003196 0.013325 0.165981 0.090623 0.002278
