CorrectClass MaxScore MaxScoreClass TrustedVote VoteScore TrustedScore FileName AN CE DS HP NE SA SC SR
AN 0.392820 DS 0.000000 1.000000 0.000000 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0513.JPG 0.391988 0.000074 0.392820 0.175835 0.000086 0.002462 0.036270 0.000464
AN 0.417748 HP 0.285714 0.986300 0.986681 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0514.JPG 0.243682 0.000426 0.311853 0.417748 0.001246 0.009893 0.011621 0.003531
AN 0.390346 DS 0.000000 0.999419 0.000581 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0515.JPG 0.282958 0.000736 0.390346 0.312221 0.001476 0.003914 0.007772 0.000578
AN 0.500676 AN 0.000000 1.000000 0.000000 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0516.JPG 0.500676 0.006202 0.207537 0.025071 0.005082 0.002074 0.205875 0.047483
AN 0.549699 AN 0.000000 0.999530 0.000470 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0517.JPG 0.549699 0.002554 0.175254 0.061269 0.002415 0.002403 0.121832 0.084574
AN 0.443016 AN 0.000000 1.000000 0.000000 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0518.JPG 0.443016 0.002243 0.234658 0.083577 0.002977 0.001689 0.121837 0.110003
AN 0.516691 AN 0.000000 0.999999 0.000001 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0519.JPG 0.516691 0.000436 0.395624 0.073574 0.000057 0.001881 0.007316 0.004421
AN 0.383655 AN 0.285714 0.987020 0.987020 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0520.JPG 0.383655 0.000529 0.330007 0.271318 0.000096 0.002057 0.009104 0.003234
AN 0.512771 AN 0.000000 0.998072 0.001928 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0521.JPG 0.512771 0.000292 0.254838 0.218913 0.000255 0.001714 0.008800 0.002417
AN 0.420308 AN 0.000000 0.776478 0.223522 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0522.JPG 0.420308 0.001564 0.279492 0.059007 0.002075 0.062757 0.126875 0.047921
AN 0.397051 AN 0.000000 0.529272 0.470728 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0523.JPG 0.397051 0.004386 0.323433 0.120154 0.001629 0.071555 0.045743 0.036047
AN 0.398551 SA 0.000000 0.999979 0.000021 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0524.JPG 0.283577 0.084409 0.118758 0.024936 0.005525 0.398551 0.074204 0.010041
AN 0.403776 DS 0.000000 0.999952 0.000048 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0525.JPG 0.147846 0.038928 0.403776 0.030958 0.049085 0.146607 0.170370 0.012431
AN 0.389165 DS 0.000000 0.999943 0.000057 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0526.JPG 0.176813 0.056713 0.389165 0.121607 0.084601 0.048277 0.111930 0.010894
AN 0.376889 AN 0.000000 0.999820 0.000180 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0527.JPG 0.348609 0.006579 0.376889 0.030467 0.066822 0.019482 0.055928 0.095224
