CorrectClass MaxScore MaxScoreClass TrustedVote VoteScore TrustedScore FileName AN CE DS HP NE SA SC SR
AN 0.652860 HP 0.571429 0.999995 0.999997 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0513.JPG 0.343265 0.000042 0.002649 0.652860 0.000024 0.000149 0.000008 0.001002
AN 0.596406 HP 0.000000 0.999401 0.000599 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0514.JPG 0.366915 0.000164 0.030717 0.596406 0.000174 0.000565 0.000046 0.005014
AN 0.519921 AN 0.000000 0.994102 0.005898 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0515.JPG 0.453483 0.000149 0.015739 0.519921 0.000802 0.000489 0.000163 0.009254
AN 0.560946 AN 0.428571 0.912057 0.912057 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0516.JPG 0.560946 0.001433 0.058429 0.319245 0.005358 0.002049 0.000531 0.052007
AN 0.618869 AN 0.000000 0.992328 0.007672 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0517.JPG 0.618869 0.000389 0.118492 0.251305 0.000589 0.000788 0.000600 0.008968
AN 0.643038 AN 0.000000 0.761978 0.238022 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0518.JPG 0.643038 0.000526 0.104487 0.228875 0.000325 0.001036 0.001252 0.020461
AN 0.362715 HP 0.000000 0.631965 0.368035 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0519.JPG 0.256886 0.005298 0.169160 0.362715 0.001479 0.053903 0.007163 0.143395
AN 0.468930 HP 0.000000 0.993718 0.006282 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0520.JPG 0.306756 0.025266 0.094441 0.468930 0.000911 0.058816 0.000749 0.044131
AN 0.468186 HP 0.428571 0.626154 0.755954 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0521.JPG 0.315930 0.007121 0.063199 0.468186 0.000595 0.038404 0.000357 0.106207
AN 0.363108 DS 0.000000 1.000000 0.000000 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0522.JPG 0.114680 0.004664 0.363108 0.026012 0.000913 0.176613 0.083299 0.230711
AN 0.508008 SR 0.000000 0.999987 0.000013 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0523.JPG 0.014479 0.000424 0.317674 0.009881 0.012200 0.122202 0.015133 0.508008
AN 0.320566 DS 0.428571 0.983570 1.000000 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0524.JPG 0.007982 0.005392 0.308394 0.014199 0.004788 0.320566 0.034785 0.303894
AN 0.364062 AN 0.000000 0.999995 0.000005 /home/sielicki/data/BC2E_1072x712/S1/S1GL1/S1GL1AN/DSC_0525.JPG 0.364062 0.000879 0.324155 0.235433 0.001052 0.004445 0.000659 0.069317
