GoogleNet training N images:4508 time:10608.538, models 6
GoogleNet Supervisor training N images:1653 time:274.730, models 6
Labeling test set:
 AN, CE, DS, HP, NE, SA, SC, SR,
GoogleNet test N images:11125, models 6
    TestFolder    Accuracy    BestGuess    GuessScore      AN          CE          DS          HP          NE           SA          SC          SR   
    __________    ________    _________    __________    _______    ________    ________    ________    _________    ________    ________    ________

       "AN"       0.23441       "AN"        0.23441      0.23441     0.10753     0.16057     0.12043     0.039427     0.11183     0.12616    0.099642
       "CE"       0.63369       "CE"        0.63369      0.12538     0.63369    0.043051    0.066465    0.0030211    0.059668    0.049094    0.019637
       "DS"       0.29205       "DS"        0.29205      0.19399      0.1403     0.29205     0.15319    0.0085898    0.080172    0.091625    0.040086
       "HP"       0.45455       "HP"        0.45455      0.13457     0.12241     0.10523     0.45455     0.016464    0.033644    0.079456    0.053686
       "NE"       0.15634       "AN"        0.15704      0.15704      0.1507    0.080986     0.10775      0.15634     0.13592     0.10493     0.10634
       "SA"       0.22078       "SA"        0.22078      0.17893     0.19481    0.085859    0.087302     0.072872     0.22078    0.089466    0.069986
       "SC"       0.25071       "SC"        0.25071      0.14731     0.10694     0.13314    0.097734     0.033994    0.090652     0.25071     0.13952
       "SR"        0.2274       "SR"         0.2274      0.16141    0.093257     0.11765    0.094692     0.042324    0.079627     0.18364      0.2274

