  533×12 table

         TestFolder          Accuracy    BestGuess    GuessScore       AN          CE          DS          HP          NE          SA          SC          SR   
    _____________________    ________    _________    __________    ________    ________    ________    ________    ________    ________    ________    ________

    "S1/S1GL1/S1GL1AN"            0.6      "AN"            0.6           0.6           0        0.35        0.05           0           0           0           0
    "S1/S1HD1/S1HD1AN"        0.57143      "AN"        0.57143       0.57143           0     0.28571           0           0    0.095238    0.047619           0
    "S1/S1HD2/S1HD2AN"         0.2381      "NE"        0.57143        0.2381           0    0.095238    0.095238     0.57143           0           0           0
    "S1/S1MK1/S1MK1AN"        0.85714      "AN"        0.85714       0.85714           0    0.047619    0.095238           0           0           0           0
    "S1/S1MK2/S1MK2AN"       0.095238      "SA"        0.38095      0.095238      0.2381    0.095238    0.047619    0.095238     0.38095    0.047619           0
    "S1/S1MK3/S1MK3AN"        0.38889      "DS"        0.61111       0.38889           0     0.61111           0           0           0           0           0
    "S1/S1MK4/S1MK4AN"       0.090909      "SR"        0.68182      0.090909           0           0           0           0           0     0.22727     0.68182
    "S1/S1MK5/S1MK5AN"        0.42857      "AN"        0.42857       0.42857           0     0.19048           0     0.14286    0.047619           0     0.19048
    "S1/S1MK6/S1MK6AN"        0.19048      "SA"        0.33333       0.19048           0     0.28571           0     0.19048     0.33333           0           0
    "S1/S1MK7/S1MK7AN"        0.19048      "SC"        0.66667       0.19048           0           0           0    0.047619           0     0.66667    0.095238
    "S1/S1MK8/S1MK8AN"        0.28571      "DS"        0.71429       0.28571           0     0.71429           0           0           0           0           0
    "S1/S1NM2/S1NM2AN"       0.047619      "SA"        0.85714      0.047619           0    0.047619           0           0     0.85714    0.047619           0
    "S2/S2HD1/S2HD1AN"              0      "HP"        0.95238             0           0           0     0.95238           0    0.047619           0           0
    "S2/S2GL1/S2GL1AN"           0.35      "AN"           0.35          0.35           0         0.2         0.3           0           0        0.15           0
    "S2/S2NM2/S2NM2AN"              0      "HP"            0.5             0           0        0.05         0.5           0           0         0.3        0.15
    "S3/S3HD1/S3HD1AN"        0.52381      "AN"        0.52381       0.52381    0.047619           0           0     0.33333           0    0.047619    0.047619
    "S3/S3HD2/S3HD2AN"        0.28571      "DS"        0.33333       0.28571           0     0.33333           0     0.14286    0.095238    0.095238    0.047619
    "S3/S3MK1/S3MK1AN"        0.57143      "AN"        0.57143       0.57143    0.047619     0.33333           0    0.047619           0           0           0
    "S3/S3MK2/S3MK2AN"        0.28571      "HP"        0.38095       0.28571    0.047619     0.28571     0.38095           0           0           0           0
    "S3/S3MK3/S3MK3AN"        0.90476      "AN"        0.90476       0.90476           0           0           0    0.095238           0           0           0
    "S3/S3MK4/S3MK4AN"        0.38095      "DS"        0.61905       0.38095           0     0.61905           0           0           0           0           0
    "S3/S3MK5/S3MK5AN"              0      "DS"           0.45             0           0        0.45         0.1           0           0        0.15         0.3
    "S3/S3NM3/S3NM3AN"        0.14286      "NE"        0.33333       0.14286           0           0    0.047619     0.33333      0.2381     0.19048    0.047619
    "S4/S4GL1/S4GL1AN"            0.5      "AN"            0.5           0.5           0         0.1         0.2           0           0        0.15        0.05
