Incept3 training N images:4508 time:2.809, models 1
Incept3 Supervisor training N images:1653 time:306.628, models 1
Labeling test set:
 AN, CE, DS, HP, NE, SA, SC, SR,
Incept3 test N images:11125, models 1
  8×12 table

    TestFolder    Accuracy    BestGuess    GuessScore      AN          CE          DS         HP          NE           SA          SC          SR   
    __________    ________    _________    __________    _______    _________    _______    _______    _________    ________    ________    ________

       "AN"       0.26595       "AN"        0.26595      0.26595     0.015054    0.23584     0.2172     0.032975    0.075269     0.11254    0.045161
       "CE"       0.43656       "CE"        0.43656      0.11858      0.43656    0.21299    0.14275    0.0075529    0.050604    0.030967           0
       "DS"       0.47459       "DS"        0.47459      0.19613     0.011453    0.47459    0.19256     0.014316    0.027917     0.04796    0.035075
       "HP"       0.55762       "HP"        0.55762      0.11596    0.0050107    0.14674    0.55762     0.012169    0.018611    0.030064     0.11382
       "NE"       0.14225       "DS"        0.18169      0.13873     0.020423    0.18169    0.18099      0.14225     0.16056     0.11408    0.061268
       "SA"       0.20418       "DS"        0.20996      0.17749     0.029582    0.20996    0.14791      0.07215     0.20418     0.11905    0.039683
       "SC"        0.2068       "DS"         0.2238      0.20255    0.0077904     0.2238    0.15297     0.043201    0.070113      0.2068    0.092776
       "SR"       0.20947       "SR"        0.20947      0.16356    0.0086083    0.16428    0.16643     0.048063    0.066714     0.17288     0.20947

