Incept3 training N images:4508 time:4.979, models 4
Incept3 Supervisor training N images:1653 time:319.203, models 4
Labeling test set:
 AN, CE, DS, HP, NE, SA, SC, SR,
Incept3 test N images:11125, models 4
  8×12 table

    TestFolder    Accuracy    BestGuess    GuessScore      AN          CE          DS          HP           NE           SA           SC          SR   
    __________    ________    _________    __________    _______    _________    _______    ________    __________    _________    ________    ________

       "AN"       0.32832       "AN"        0.32832      0.32832     0.012903    0.28602     0.12975      0.044444     0.058065    0.083154    0.057348
       "CE"       0.53927       "CE"        0.53927      0.11782      0.53927    0.20242    0.067221    0.00075529     0.039275    0.011329    0.021903
       "DS"       0.57337       "DS"        0.57337      0.20687     0.013601    0.57337    0.099499     0.0064424     0.013601    0.041518    0.045097
       "HP"       0.57623       "HP"        0.57623      0.14746    0.0064424    0.18969     0.57623     0.0085898    0.0021475    0.012885     0.05655
       "NE"       0.18028       "DS"        0.22113      0.16127     0.029577    0.22113     0.11127       0.18028       0.1493    0.070423    0.076761
       "SA"       0.18398       "DS"        0.27778       0.2114     0.042569    0.27778    0.074315      0.053391      0.18398    0.085137    0.071429
       "SC"       0.26841       "SC"        0.26841      0.22025      0.01204    0.25142    0.070113      0.021246     0.055949     0.26841     0.10057
       "SR"        0.2231       "SR"         0.2231      0.18221     0.014347    0.17145     0.11191      0.045194     0.053085     0.19871      0.2231

