IResnet2 training N images:4508 time:17.077, models 6
IResnet2 Supervisor training N images:1653 time:804.721, models 6
Labeling test set:
 AN, CE, DS, HP, NE, SA, SC, SR,
IResnet2 test N images:11125, models 6
  8×12 table

    TestFolder    Accuracy    BestGuess    GuessScore       AN          CE         DS          HP           NE           SA           SC          SR    
    __________    ________    _________    __________    ________    ________    _______    ________    __________    _________    ________    _________

       "AN"        0.2853       "DS"        0.30179        0.2853    0.047312    0.30179     0.13835      0.042294     0.050179    0.088889     0.045878
       "CE"       0.65785       "CE"        0.65785      0.070242     0.65785    0.13293    0.072508    0.00075529     0.028701    0.028701    0.0083082
       "DS"       0.57051       "DS"        0.57051       0.17752     0.06156    0.57051     0.10666     0.0085898    0.0071582    0.042949     0.025054
       "HP"       0.52756       "HP"        0.52756       0.12598    0.053686    0.20544     0.52756     0.0093057    0.0028633    0.027917     0.047244
       "NE"       0.17817       "DS"        0.19507       0.15563     0.08662    0.19507     0.10352       0.17817      0.14437    0.076056     0.060563
       "SA"       0.17316       "DS"        0.23088       0.19408      0.1241    0.23088    0.072872      0.078644      0.17316    0.074315     0.051948
       "SC"       0.22167       "DS"        0.23513       0.23088    0.048159    0.23513    0.099858      0.040368     0.041785     0.22167     0.082153
       "SR"       0.20301       "SR"        0.20301       0.15065     0.06528    0.18436     0.12339       0.05165     0.063845     0.15782      0.20301

