Resnet50 training N images:4508 time:5.975, models 6
Resnet50 Supervisor training N images:1653 time:305.638, models 6
Labeling test set:
 AN, CE, DS, HP, NE, SA, SC, SR,
Resnet50 test N images:11125, models 6
  8×12 table

    TestFolder    Accuracy    BestGuess    GuessScore      AN          CE         DS          HP          NE           SA          SC          SR   
    __________    ________    _________    __________    _______    ________    _______    ________    _________    ________    ________    ________

       "AN"        0.2724       "DS"          0.319       0.2724    0.022222      0.319    0.098925       0.0681    0.055197    0.086022    0.078136
       "CE"       0.48867       "CE"        0.48867      0.12764     0.48867    0.23489    0.064199    0.0075529    0.030967    0.024169    0.021903
       "DS"       0.47173       "DS"        0.47173      0.23622    0.029349    0.47173     0.11954     0.018611    0.020759     0.06156    0.042233
       "HP"       0.39227       "HP"        0.39227      0.22405    0.014316     0.2398     0.39227     0.019327    0.011453    0.033644     0.06514
       "NE"        0.1669       "DS"         0.2338       0.2338    0.030986     0.2338    0.078169       0.1669     0.11549     0.06831    0.072535
       "SA"        0.1241       "DS"        0.29076       0.2417    0.049062    0.29076    0.060606     0.075758      0.1241    0.082973    0.075036
       "SC"       0.18768       "AN"        0.27408      0.27408    0.020538    0.24079    0.058074     0.072238    0.052408     0.18768    0.094193
       "SR"        0.1901       "DS"        0.24892      0.21736    0.025108    0.24892    0.068149      0.05165    0.061693     0.13702      0.1901

